event_event/id_event,event_event/event,event_event/kategori,event_event/tanggal,event_event/jam,event_event/tempat
4438, JOB FAIR BERSAMA PUSAT KARIR PERGURUAN TINGGI  SOLORAYA 2023 ,Bursa Kerja,14  - 15 Peb 2023,09:00 - 15:00,Gedung Grha Soloraya (Eks Gedung Bakorwil) Surakarta
4421, JELAJAHI BUMI PARA PETINGGI - SEHARI di KARANGANYAR ,Lain-lain,24  - 24 Nov 2022,08:00 - 21:00,"Kemuning, Ngargoyoso"
4454, FUN WALK 90's ,Sport,06  - 06 Agu 2023,06:00 - 12:00,Kampus STIE Totalwin
4444, OPICH - TASBIH CINTA RAMADHAN ,Musik,19  - 19 Apr 2023,15:00 - 19:00,Dusun Semilir
4442, WEBINAR NASIONAL EKSPEDISI SERIBU PULAU #4 2023 ,Seminar,01  - 01 Apr 2023,07:30 - 16:00,Zoom
4437, USB JOB FAIR 2023 ,Bursa Kerja,24  - 25 Jan 2023,09:00 - 16:00,Gedung A1 Universitas Setia Budi
4432," WEBINAR KESENIAN DAN KESEHATAN ""ENDORFIN"" ",Seminar,11  - 11 Des 2022,08:45 - 16:00,Zoom meeting
4431, Chemistry Fair 1.0 ,Expo,01  - 17 Des 2022,08:00 - 16:00,Gedung Fakultas MIPA
4430, UPACARA PENUTUPAN PORSENIGAMA 2022 ,Pensi,03  - 03 Des 2022,16:00 - 22:00,Lapangan Pancasila GSP UGM
4429, Devfest Bogor 2022 “Move Together for Further” ,Seminar,03  - 03 Des 2022,07:00 - 16:00,"GD, Poetri Ballroom, Bogor"
4426, PELATGIS UAV BOOTCAMP ,Lain-lain,10  - 11 Des 2022,08:30 - 16:00,UI
4425, The Art of Arranging Music with ,Seminar,19  - 19 Nov 2022,11:00 - 14:00,Zoom Meeting
4424, estival Budaya Nusantara 2022 ,Expo,21  - 23 Nov 2022,08:00 - 16:00,UMN
4419, SEMINAR NASIONAL FISIOTERAPI UNIVERSITAS AIRLANGGA 2022 ,Seminar,13  - 13 Nov 2022,07:30 - 12:00,Ruang Auditorium Gedung Kuliah Bersama (GKB) Kampus C Universitas Airlangga
4418, The 72nd MarkPlus Goes to Campus ,Seminar,29  - 29 Okt 2022,10:00 - 11:30,Zoom Meeting / Live Youtube
4416, Donor Darah Charity Children Camp 2022 ,Lain-lain,05  - 05 Nov 2022,09:00 - 12:00,"Gedung Lukas Lt 1 (L101), Unika Atma Jaya"
4415, Visit Dentistry ,Lain-lain,01  - 01 Jan 1970,07:00 - 07:00,"Fakultas Kedokteran Gigi, Trisakti Kampus B"
4414, Go Scholarship 2022 ,Seminar,05  - 05 Nov 2022,09:00 - 12:00,Zoom Meeting
4413, The 71st MarkPlus Goes to Campus ,Lain-lain,22  - 22 Okt 2022,10:00 - 11:30,Zoom Meeting / Live Youtube
4410, RUN ORIENTEERING CHAMPIONSHIP ,Sport,29  - 29 Okt 2022,20:00 - 23:00,Balai Kota Medan
4408, Indonesia Education Fair ,Expo,22  - 23 Okt 2022,14:30 - 18:00,Pullman Jakarta Central Park
4407, FESTIVAL LITERASI KARANGANYAR 2022 ,Expo,31 Okt 2022 - 06 Nov 2022,09:00 - 21:00,DINAS ARSIP DAN PERPUSTAKAAN KARANGANYAR
4406, SOLORAYA JOBFAIR 2022 ,Bursa Kerja,26  - 27 Okt 2022,09:00 - 16:00,Palur Plasa
4405, The 7th Annual International Conference and Exhibition on Indonesian Medical Education and Research Institute ,Seminar,05  - 13 Nov 2022,08:00 - 16:00,online & offline
