record_id,submitter_id,leaderboard_id,rank,platform,lrt_time,rta_time,build
ydw2ggvm,maltemller,9d8x7el2-5ly7j1gl.gq7g67dq,1,PC,43m 02s ,49m 46s ,Ghosting (4104)
zx3gqr5z,PenPerson,9d8x7el2-5ly7j1gl.gq7g67dq,2,PC,44m 09s 490ms,52m 45s 470ms,Unpack (5135)
z1qg9gry,Wilbo__,9d8x7el2-5ly7j1gl.gq7g67dq,3,PC,45m 13s 480ms,51m 01s 430ms,Unpack (5135)
z0jxp18y,Eold,9d8x7el2-5ly7j1gl.gq7g67dq,4,PC,46m 26s 290ms,55m 36s ,Unpack (5135)
zp1l48gz,maltemller,9d8x7el2-5ly7j1gl.21gg3x81,1,PC,40m 42s ,1h 04m 02s ,
y966jory,PenPerson,9d8x7el2-5ly7j1gl.21gg3x81,2,PC,45m 53s 850ms,56m 08s 870ms,Unpack (5135)
m7539n0z,qv2b,9d8x7el2-5ly7j1gl.21gg3x81,3,PC,58m 45s ,—,
z51pp1nm,deathwingua,9d8x7el2-5ly7j1gl.21gg3x81,4,PC,1h 04m 25s 300ms,1h 14m 23s 400ms,
m3qno96y,iNSM,l824pw25-onv4p5nm.zqomgv41,1,PC,41m 07s 799ms,52m 57s ,OE 2733
y80g51xm,jorikgrozniy,l824pw25-onv4p5nm.zqomgv41,2,PC,43m 05s 190ms,—,OE 2733
y8d3k2dz,maddavid123,l824pw25-onv4p5nm.zqomgv41,3,PC,45m 09s 940ms,53m 20s 650ms,
zq1r359m,SpeedyQ,l824pw25-onv4p5nm.zqomgv41,4,PC,46m 19s 096ms,59m 04s 033ms,
y4o2j5dz,FiR3_47,l824pw25-onv4p5nm.814zpeld,1,PC,58m 49s 120ms,1h 46m 18s 700ms,OE 4044
y218ew6z,iNSM,l824pw25-onv4p5nm.814zpeld,2,PC,1h 33m 54s ,1h 56m 35s ,
1zxw04qm,deathwingua,l824pw25-onv4p5nm.814zpeld,3,PC,1h 40m 11s 290ms,1h 56m 58s ,
pyd27kqm,Maxxuss,l824pw25-onv4p5nm.814zpeld,4,PC,1h 47m 52s ,1h 55m 07s ,
y813g51z,maltemller,l_r9gzojkd-824x05nd,1,PC,2m 18s ,—,
8yvd6poy,deathwingua,l_r9gzojkd-824x05nd,2,PC,3m 36s 360ms,3m 50s 210ms,
yolpo91y,ferret_irl,l_r9gzojkd-824x05nd,3,PC,3m 50s 560ms,—,Unpack (5135)
y2pv5g5z,mirskiy,l_r9gzojkd-824x05nd,4,PC,3m 55s 200ms,—,
yw306lnm,Dirtch,l_r9gzojkd-jdz7n16k,1,PC,4m 06s 330ms,4m 08s 980ms,
me3o8qqz,PenPerson,l_r9gzojkd-jdz7n16k,2,PC,4m 07s 570ms,4m 10s 450ms,
y8edkvwy,owerfloww,l_r9gzojkd-jdz7n16k,3,PC,5m 14s 460ms,5m 20s 820ms,
yj5r7r7m,eljest,l_r9gzojkd-jdz7n16k,4,PC,5m 26s 625ms,—,
znjqvolm,PenPerson,l_r9gzojkd-ndx8661k,1,PC,1m 35s 140ms,4m 34s 940ms,OE 4044
pm3p7o6z,Corkysek,l_r9gzojkd-ndx8661k,2,PC,4m 46s 110ms,—,
pzg5g8ey,vladix123,l_r9gzojkd-ndx8661k,3,PC,5m 01s 180ms,—,
