harga_tikettiket_event/id_event,harga_tikettiket_event/id_tiket,harga_tikettiket_event/jenis_tiket,harga_tikettiket_event/harga_tiket
4421,442101,Tour Karanganyar ,750000
4454,445401,Fun Walk 90's STIE Totalwin,25000
4444,444401,OPICK & KYAI TAPEL GAMELAN,250000
4284,428401,Semnas EXCESS 2022,50000
4283,428301,Special Price Only (1 Orang),275000
4283,428302,Paket Combo (2 orang),500000
4283,428303,Kategori Umum (1 Orang),375000
4283,428304,Paket Combo Umum (2 Orang),725000
4200,420001,GELOMBANG II,20000
4199,419901,INVESTMENT SUMMIT PROJECT 2022 : INVESTMENT RESEARCH COMPETITION,75000
4198,419801,WEBINAR NASIONAL INSPECT 2022 “Pemulihan Ekonomi Pasca Pandemi: Sebagai Upaya Menarik Milenial untuk,15000
4191,419101,GANESION 2022,25000
4181,418101,PRESALE 1 (1 Jan - 25 Jan),25000
4181,418102,PRESALE 2 (26 Jan - 5 Feb),35000
4166,416601,Offline,55000
4166,416602,Streaming,25000
4161,416101,SMECOMP 2022,35000
4185,418501,HTM Beauty Class and Fashion Show with Wardah,100000
4173,417301,TOEFL Akbar Online,70000
4170,417001,Webinar INCREASE 3.0 (Innovative and Creation of Psychopreneur in Society),35000
4170,417002,Webinar INCREASE 3.0 (Innovative and Creation of Psychopreneur in Society) for 2 pax,65000
4167,416701,SMC Online Lampung,50000
4164,416401,FOCUS : Finance On Discuss,30000
4159,415901,[LEOIWID 2022] Pre-sale 3,40000
4159,415902,[LEOIWID 2022] OTS,50000
4142,414201,Seminar;Trainerpreneur,125000
4103,410301,"✨Webinar Personal Branding ""Your Future Created By You"" ✨",10000
4084,408401, SEMINAR NASIONAL & CALL FOR PAPER BEM-FT 2021,100000
4066,406601,Upgrade Your Personality,90000
4041,404101,Paket 1,10000
4041,404102,Paket 2,25000
4041,404103,Paket 3,35000
4031,403101,Speaking For Communication,500000
4030,403001,IELTS WRITING PREPARATION,500000
4030,403002,IELTS SPEAKING PREPARATION,500000
4029,402901,TOEFL ITP COMPLATE SKILLS,250000
4025,402501,Early Bird,15000
4025,402502,Normal,20000
3249,324901,Dalgona + Pisgor,25000
3249,324902,Dalgona + French fries,25000
3249,324903,Ice lemon tea + Pisgor,25000
3249,324904,Thai Tea + French Fries,25000
3249,324905,VIP - Paket 1,75000
3249,324906,VIP - Paket 2,75000
3249,324907,VIP - Paket 3,75000
3249,324908,Reguler - Paket 1,40000
3249,324909,Reguler - Paket 2,40000
3249,3249010,Reguler - Paket 3,40000
3081,308101,Presale 1Regular,40000
3081,308102,Presale 1 Premium,50000
3081,308103,Presale 2 Regular,45000
3081,308104,Presale 2 Premium,60000
3014,301401,Early Bird 1 Nasional,100000
3014,301402,Early Bird 2 Nasional,125000
3014,301403,Normal Nasional,150000
3014,301404,Internasional,200000
2992,299201,Presale 2 Gebyar Kharisma XIX UKM Musik UBHARA,30000
2821,282101,PsyTalk 2019,80000
2721,272101,Presale 1,35000
2520,252001,Presale 1,45000
2027,202701,Presale 1 Festival,25000
2027,202702,Presale 1 VIP,40000
2027,202703,Presale 2 Festival,30000
1933,193301,Presale 2,50000
1071,107101,Presale 1,45000
1071,107102,Presale 2,55000
1071,107103,Presale 3,60000
