hotel_name,review,address,prices
 The Papandayan,5.0,"Jl. Gatot Subroto 83, Bandung 40262 Indonesia",752086
 The Gaia Hotel Bandung,5.0,"No. 430 Jl. Dr. Setiabudi, Bandung 40143 Indonesia",1640356
 Janevalla Bandung,4.5,"Jalan Aceh No. 65, Jawa Barat, Bandung 40115 Indonesia",862921
 Grand Tjokro Premiere Bandung,4.5,"Jl. Cihampelas no. 211-217, Bandung 40131 Indonesia",489988
 Swiss-Belresort Dago Heritage,5.0,"Lapangan Golf Dago Atas No. 78 Dago Heritage Golf Complex, Bandung 40135 Indonesia",939250
 Hotel Savoy Homann,4.0,"Jl. Asia Afrika, No. 112, Bandung 40261 Indonesia",503338
 Belviu Hotel,5.0,"Jl. Dr Setiabudhi no. 35 Sukajadi, Bandung 40161 Indonesia",511591
 Shakti Hotel Bandung,4.5,"Jl. Soekarno Hatta No. 735 Gede Bage, Bandung 40294 Indonesia",377006
 The Trans Luxury Hotel,4.5,"Jl. Jenderal Gatot Subroto no. 289, Bandung 40273 Indonesia",1172144
 HARRIS Hotel & Conventions Festival CityLink,4.5,"Jl. Peta no. 241 Kopo, Bandung 40323 Indonesia",414790
 de JAVA Hotel,4.5,"Jl. Sukajadi no. 148-150, Bandung 40161 Indonesia",309817
 THE 1O1 Bandung Dago,4.0,"Jl. Ir H Djuanda no. 3 Dago Bawah, Bandung 40115 Indonesia",513091
 Tebu Hotel Bandung,4.5,"Jl. L.L.R.E Martadinata no. 62, Bandung 40115 Indonesia",223595
 The Cherry Homes Hotel and Residence,4.0,"Jl. Babakan Jeruk IV No.37-39, Bandung 40163 Indonesia",200193
 Vue Palace Hotel,4.5,"Jalan Otto Iskandar Dinata No 3, Bandung 40117 Indonesia",193659
 Hotel Daily Inn Bandung,5.0,"Jalan. Dalem Kaum No.36 Kec. Regol Kel. Balonggede. Alun-alun Kota Bandung, Bandung 40251 Indonesia",213759
" The Jayakarta Suites Bandung, Boutique Suites, Hotel & Spa",3.5,"Jl. Ir. H Juanda no. 381A, Bandung 40135 Indonesia",564908
 Fabu Hotel Bandung,3.5,"Jl. Kebon Jati no. 32, Bandung 40181 Indonesia",264788
 West Point Hotel Bandung,4.5,"Jln. Garuda No. 63 Near from Husein Sastranegara International Airport, Bandung 40183 Indonesia",188802
 Collection O 25 Hotel Baltika,3.0,"No. 42, Jl Gatot Subroto, Bandung 40262 Indonesia",77995
 Grand Sovia Hotel,3.5,"Jl. Kebon Kawung no. 16, Bandung 40171 Indonesia",309666
 Meize Hotel,3.5,"Jl. Sumbawa no. 7, Bandung 40113 Indonesia",212388
 Clove Garden Hotel & Residence,4.5,"Jl. Awiligar Raya II 2 Cimenyan, Bandung 40191 Indonesia",285494
 Grand Asrilia Hotel Convention & Restaurant,3.0,"Jl. Pelajar Pejuang 45 no. 108A Lengkong, Bandung 40264 Indonesia",495191
 Kedaton Hotel,3.5,"Jl. Suniaraja no. 14, Bandung 40111 Indonesia",336794
 HOUSE Sangkuriang - Bandung,4.0,"Jln. Sangkuriang No. 1, Dago, Bandung 40135 Indonesia",399118
 Maison Teraskita Bandung by The Gala Hotels Group,4.0,"55 Jalan Asia Afrika, Bandung 40251 Indonesia",325920
 Kytos Hotel,3.5,"Jl. Setiabudhi no. 153, Bandung 40153 Indonesia",345467
 Collection O 22 Hotel Pasar Baru Heritage,3.5,"No. 84-92, Jl Otto Iskandar Dinata, Bandung 40181 Indonesia",203940
 POP! Hotel Festival Citylink,4.0,"Pasir Koja Jln. Peta 241, Bandung 40323 Indonesia",295079
 YELLO Hotel Paskal,4.5,"Jl. Pasir Kaliki No.25 Komplek Paskal Hyper Square, Bandung 40181 Indonesia",344700
 Hotel ibis Bandung Trans Studio,4.5,"Jl. Sumatra no. 51 Kelurahan Citarum, Bandung 40115 Indonesia",371901
 Serela Waringin Bandung,4.5,"Jl Kelenteng No 30-31, Bandung 40181 Indonesia",190278
 HARRIS Hotel & Conventions Ciumbuleuit,4.5,"Jl. Ciumbuleuit no. 50-58, Bandung 40141 Indonesia",424211
 Grand Tebu Hotel,4.5,"LLRE Martadinata St. no. 207, Bandung 40115 Indonesia",400185
 Sukajadi Hotel,3.5,"Jl. Sukajadi no. 176, Bandung 40161 Indonesia",82785
 Grand Hotel Preanger,4.0,"Jln. Asia Afrika 81, Bandung 40111 Indonesia",542476
 Puteri Gunung Hotel,4.5,"Jl. Raya Tangkuban Perahu Km. 16-17, Bandung Indonesia",382414
 The Luxton Bandung Hotel,4.0,"Jln. Ir. H Juanda No. 18, Bandung 40115 Indonesia",826724
 Kimaya Braga Bandung By Harris,4.0,"Jln. Braga 8, Bandung 40111 Indonesia",165289
 Sari Ater Hot Springs Ciater,4.0,"Jl. Raya Ciater Subang, Bandung 41281 Indonesia",373937
 Amaroossa Bandung,4.5,"Jl. Aceh no. 71A, Bandung 40115 Indonesia",552019
