Rank,TV Series Title,Year Started,Year Ended,Duration,Genres,Rating,Votes,Description,Actors
1,The Witcher,2019,Present,60,"['Action', ' Adventure', ' Drama']",8.1,"532,263","Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.","['Henry Cavill', ' Freya Allan', ' Anya Chalotra', ' Eamon Farren']"
2,Black Mirror,2011,Present,60,"['Drama', ' Mystery', ' Sci-Fi']",8.7,"598,168","An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","['Wunmi Mosaku', ' Monica Dolan', ' Daniel Lapaine', ' Hannah John-Kamen']"
3,The Bear,2022,Present,30,"['Comedy', ' Drama']",8.5,"112,276",A young chef from the fine dining world returns to Chicago to run his family's sandwich shop.,"['Jeremy Allen White', ' Ebon Moss-Bachrach', ' Ayo Edebiri', ' Lionel Boyce']"
4,Silo,2023,Present,None,"['Drama', ' Mystery', ' Sci-Fi']",8.1,"56,619",Men and women live in a giant silo underground with several regulations which they believe are in place to protect them from the toxic and ruined world on the surface.,"['Rebecca Ferguson', ' Common', ' Tim Robbins', ' Harriet Walter']"
5,Jack Ryan,2018,2023,60,"['Action', ' Drama', ' Thriller']",8.0,"155,570","Up-and-coming CIA analyst, Jack Ryan, is thrust into dangerous field assignments.","['John Krasinski', ' Wendell Pierce', ' Michael Kelly', ' Abbie Cornish']"
6,The Idol,2023,2023,276,['Drama'],4.7,"66,354","Jocelyn is desperate to reclaim her rightful title as the greatest and sexiest pop diva in America after a nervous breakdown disrupted her most recent tour after Tedros, a notorious nightclub entrepreneur, reignites her passions.","['The Weeknd', ' Lily-Rose Depp', ' Suzanna Son', ' Troye Sivan']"
7,Hijack,2023,Present,None,"['Drama', ' Thriller']",7.8,"7,597","A plane from Dubai to London is hijacked over a 7-hour flight, while authorities on the ground scramble for answers.","['Idris Elba', ' Neil Maskell', ' Max Beesley', ' Ben Miles']"
8,Suits,2011,2019,44,"['Comedy', ' Drama']",8.4,"432,843","On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.","['Gabriel Macht', ' Patrick J. Adams', ' Meghan Markle', ' Sarah Rafferty']"
9,Succession,2018,2023,60,"['Comedy', ' Drama']",8.9,"220,099","The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.","['Nicholas Braun', ' Brian Cox', ' Kieran Culkin', ' Peter Friedman']"
10,From,2022,Present,52,"['Drama', ' Horror', ' Mystery']",7.7,"47,062","Unravel the mystery of a city in middle U.S.A. that imprisons everyone who enters. As the residents struggle to maintain a sense of normalcy and seek a way out, they must also survive the threats of the surrounding forest.","['Harold Perrineau', ' Catalina Sandino Moreno', ' Eion Bailey', ' David Alpay']"
11,The Lincoln Lawyer,2022,Present,60,"['Crime', ' Drama', ' Mystery']",7.7,"45,127",An iconoclastic idealist runs his law practice out of the back of his Lincoln Town Car in this series based on Michael Connelly's bestselling novels.,"['Manuel Garcia-Rulfo', ' Becki Newton', ' Angus Sampson', ' Jazz Raycole']"
12,Game of Thrones,2011,2019,57,"['Action', ' Adventure', ' Drama']",9.2,"2,180,532","Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for a millennia.","['Emilia Clarke', ' Peter Dinklage', ' Kit Harington', ' Lena Headey']"
13,Ted Lasso,2020,2023,30,"['Comedy', ' Drama', ' Sport']",8.8,"292,047","American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team.","['Jason Sudeikis', ' Brett Goldstein', ' Brendan Hunt', ' Nick Mohammed']"
14,The Righteous Gemstones,2019,Present,36,"['Comedy', ' Drama']",8.1,"38,478","Follows a world-famous televangelist family with a long tradition of deviance, greed, and charitable work.","['John Goodman', ' Danny McBride', ' Adam Devine', ' Edi Patterson']"
