Matches/Team Code,Matches/Date,Matches/Team,Matches/Opponent,Matches/Team Score,Matches/Opponent Score
FUT,2023-06-11,FUT Esports,Evil Geniuses,0,2
DRX,2023-06-11,DRX,Attacking Soul Esports,2,0
EDG,2023-06-11,EDward Gaming,T1,1,2
NRG,2023-06-12,NRG Esports,Natus Vincere,2,1
DRX,2023-06-12,DRX,Evil Geniuses,0,2
NRG,2023-06-13,NRG Esports,T1,2,1
ASE,2023-06-13,Attacking Soul Esports,FUT Esports,1,2
NAVI,2023-06-13,Natus Vincere,EDward Gaming,0,2
DRX,2023-06-14,DRX,FUT Esports,2,1
T1,2023-06-14,T1,EDward Gaming,0,2
LOUD,2023-06-16,LOUD,Evil Geniuses,0,2
TL,2023-06-16,Team Liquid,EDward Gaming,2,1
FNC,2023-06-17,FNATIC,NRG Esports,2,0
PRX,2023-06-17,Paper Rex,DRX,2,0
EDG,2023-06-18,EDward Gaming,LOUD,2,0
DRX,2023-06-18,DRX,NRG Esports,0,2
TL,2023-06-19,Team Liquid,Evil Geniuses,0,2
PRX,2023-06-19,Paper Rex,FNATIC,0,2
TL,2023-06-20,Team Liquid,NRG Esports,1,2
PRX,2023-06-20,Paper Rex,EDward Gaming,2,1
FNC,2023-06-21,FNATIC,Evil Geniuses,2,1
NRG,2023-06-21,NRG Esports,Paper Rex,1,2
EG,2023-06-24,Evil Geniuses,Paper Rex,3,2
FNC,2023-06-25,FNATIC,Evil Geniuses,3,0
