Player Nickname,Country,Team,Player Name,Birth
Sayaplayer,South Korea,T1,하정우,"July 29, 1998"
something,Russia,Paper Rex,Илья Петров,"February 11, 2002"
Foxy9,South Korea,DRX,정재성,"November 20, 2004"
Jinggg,Singapore,Paper Rex,Wang Jing Jie,"July 29, 2003"
SkRossi,India,Global Esports,Ganesh Gangadhar,"October 12, 1997"
BuZz,South Korea,DRX,유병철,"January 13, 2003"
f0rsakeN,Indonesia,Paper Rex,Jason Susanto,"March 25, 2004"
Dep,Japan,ZETA DIVISION,Yuma Hashimoto,"December 4, 2000"
t3xture,South Korea,Global Esports,김나라,"July 20, 1999"
Suggest,South Korea,DetonatioN FocusMe,서재영,"September 30, 2002"
Meteor,South Korea,Gen.G Esports,김태오,"December 19, 1999"
Seoldam,South Korea,DetonatioN FocusMe,박상민,"March 2, 2001"
Monyet,Indonesia,Global Esports,Cahya Nugraha,"June 5, 2005"
xffero,Indonesia,Rex Regum Qeon,David Monangin,"August 4, 2001"
MaKo,South Korea,DRX,김명관,"January 15, 2002"
garnetS,Thailand,Talon Esports,Apiwat Apiraksukumal,"July 7, 2004"
EJAY,Philippines,Rex Regum Qeon,Eroll Jule R. Delfin,
Benkai,Singapore,Paper Rex,Benedict Tan,"November 10, 1996"
Munchkin,South Korea,T1,변상범,"March 27, 1998"
k1Ng,South Korea,Gen.G Esports,이승원,"November 3, 2001"
patt,Thailand,Talon Esports,ปฏิภาณ ไชยวงษ์,"September 3, 2003"
Lmemore,Indonesia,Rex Regum Qeon,Hagai Kristen Yesyurun Tewuh,
d4v41,Malaysia,Paper Rex,Ahmad Khalish Rusyaidee bin Nordin,"October 14, 1998"
Jremy,Philippines,Team Secret,Jeremy Cabrera,
xeta,South Korea,T1,손선호,"June 3, 1997"
Sylvan,South Korea,Gen.G Esports,고영섭,"October 4, 2001"
SugarZ3ro,Japan,ZETA DIVISION,Shota Watanabe,"March 18, 2003"
Crws,Thailand,Talon Esports,ธนเมธส์ มหัทธนานุยุตติ,"November 15, 1996"
fl1pzjder,Indonesia,Rex Regum Qeon,Saibani Rahmad,"July 27, 1999"
Bazzi,South Korea,Global Esports,박준기,"March 24, 1999"
foxz,Thailand,Talon Esports,อิทธิฤทธิ์ งามสอาด,"April 8, 1999"
GodDead,South Korea,Gen.G Esports,김성신,"January 9, 1998"
invy,Philippines,Team Secret,Adrian Reyes,
TENNN,Japan,ZETA DIVISION,Tenta Asai,"October 19, 2001"
WRONSKI,Australia,Global Esports,Michael Wronski,
sushiboys,Thailand,Talon Esports,Panyawat Subsiriroj,"November 6, 2000"
Anthem,Japan,DetonatioN FocusMe,Yoshitaka Enomoto,"March 16, 2002"
iNTRO,South Korea,T1,강승균,"February 2, 2002"
JitboyS,Thailand,Talon Esports,Jittana Nokngam,
ban,United States,T1,Joseph Seungmin Oh,"January 27, 2000"
TS,South Korea,Gen.G Esports,유태석,
DubsteP,Philippines,Team Secret,Jayvee Paguirigan,"September 21, 1992"
Rb,South Korea,DRX,구상민,"December 7, 2001"
takej,Japan,DetonatioN FocusMe,竹森 祥悟,"December 17, 2000"
Lightningfast,India,Global Esports,Abhirup Choudhury,"December 7, 2000"
Zest,South Korea,DRX,김기석,"December 27, 2000"
CigaretteS,Thailand,Paper Rex,ปฏิภาณ โพธิ์ศรี,
Emman,Philippines,Rex Regum Qeon,Emmanuel Morales,
Carpe,South Korea,T1,이재혁,"October 14, 1998"
stax,South Korea,DRX,김구택,"February 16, 2000"
BORKUM,Philippines,Team Secret,Jim Albert Timbreza,"April 18, 1996"
Reita,Japan,DetonatioN FocusMe,Ryumon Oshiro,"December 11, 1994"
mindfreak,Indonesia,Paper Rex, Australia,
AYRIN,Canada,Global Esports,Jordan He,"April 4, 1996"
Laz,Japan,ZETA DIVISION,牛田 浩二,"November 26, 1995"
2ge,Philippines,Rex Regum Qeon,James Goopio,
eKo,South Korea,Gen.G Esports,염왕룡,
xnfri,Japan,DetonatioN FocusMe,Tomoki Moriya,"March 9, 1999"
JessieVash,Philippines,Team Secret,Jessie Cristy Cuyco,"February 21, 1990"
crow,Japan,ZETA DIVISION,丸岡 智明,"November 28, 1997"
lenne,Singapore,Team Secret,Lionel Lim You Xiang,
