,Player Name,Country,Team,Agents,Maps,Kills,Deaths,Assists,KD,KDA,ACS/Map,K/Map,D/Map,A/Map
0,Sayaplayer,South Korea,T1,"['Jett', 'Raze']",36,642,513,117,1.25,1.47,236,17.8,14.2,3.2
1,something,Russia,Paper Rex,"['Jett', 'Reyna', 'Breach']",24,415,304,106,1.36,1.71,230,17.2,12.6,4.4
2,Foxy9,South Korea,DRX,"['Jett', 'Raze']",23,372,337,76,1.1,1.32,229,16.1,14.6,3.3
3,Jinggg,Singapore,Paper Rex,"['Raze', 'Phoenix', 'Sage']",29,471,411,171,1.14,1.56,227,16.2,14.1,5.8
4,SkRossi,India,Global Esports,['Jett'],11,185,180,43,1.02,1.26,225,16.8,16.3,3.9
5,BuZz,South Korea,DRX,"['Killjoy', 'Jett', 'KAY/O']",33,547,472,185,1.15,1.55,224,16.5,14.3,5.6
6,f0rsakeN,Indonesia,Paper Rex,"['Killjoy', 'Neon', 'Skye']",30,484,435,177,1.11,1.51,223,16.1,14.5,5.9
7,Dep,Japan,ZETA DIVISION,"['Jett', 'Raze', 'Neon']",28,510,468,103,1.08,1.3,223,18.2,16.7,3.6
8,t3xture,South Korea,Global Esports,"['Killjoy', 'Jett', 'Raze']",20,344,310,70,1.1,1.33,219,17.2,15.5,3.5
9,Suggest,South Korea,DetonatioN FocusMe,"['Killjoy', 'Jett', 'Raze']",14,220,218,58,1,1.27,218,15.7,15.5,4.1
10,Meteor,South Korea,Gen.G Esports,"['Jett', 'Raze']",29,450,450,118,1,1.26,218,15.5,15.5,4
11,Seoldam,South Korea,DetonatioN FocusMe,"['Jett', 'Raze']",13,197,213,45,0.92,1.13,218,15.1,16.3,3.4
12,Monyet,Indonesia,Global Esports,"['Astra', 'Omen', 'Viper']",21,358,318,186,1.12,1.71,217,17,15.1,8.8
13,xffero,Indonesia,Rex Regum Qeon,"['Astra', 'Sova', 'Skye']",21,326,290,138,1.12,1.6,213,15.5,13.8,6.5
14,MaKo,South Korea,DRX,"['Viper', 'Omen', 'Brimstone']",35,523,449,348,1.16,1.93,212,14.9,12.8,9.9
15,garnetS,Thailand,Talon Esports,"['Jett', 'Raze', 'Neon']",17,246,269,57,0.91,1.12,211,14.4,15.8,3.3
16,EJAY,Philippines,Rex Regum Qeon,"['Jett', 'Raze']",21,320,321,78,0.99,1.23,210,15.2,15.2,3.7
17,Benkai,Singapore,Paper Rex,"['Breach', 'Killjoy', 'Viper']",7,109,101,43,1.07,1.5,210,15.5,14.4,6.1
18,Munchkin,South Korea,T1,"['Killjoy', 'Skye']",36,571,496,154,1.15,1.46,210,15.8,13.7,4.2
19,k1Ng,South Korea,Gen.G Esports,"['Killjoy', 'Viper']",29,435,402,134,1.08,1.41,208,15,13.8,4.6
20,patt,Thailand,Talon Esports,"['Harbor', 'Breach', 'KAY/O']",20,300,302,127,0.99,1.41,208,15,15.1,6.3
21,Lmemore,Indonesia,Rex Regum Qeon,"['Killjoy', 'Cypher', 'Viper']",21,310,311,77,0.99,1.24,207,14.7,14.8,3.6
22,d4v41,Malaysia,Paper Rex,"['Skye', 'Killjoy', 'Viper']",29,455,358,247,1.27,1.96,206,15.6,12.3,8.5
23,Jremy,Philippines,Team Secret,"['Raze', 'Killjoy', 'Sage']",29,459,483,144,0.95,1.24,203,15.8,16.6,4.9
24,xeta,South Korea,T1,"['Sova', 'Harbor', 'Breach']",36,525,483,280,1.08,1.66,200,14.5,13.4,7.7
25,Sylvan,South Korea,Gen.G Esports,"['Sova', 'Skye', 'Fade']",15,212,208,114,1.01,1.56,196,14.1,13.8,7.6
26,SugarZ3ro,Japan,ZETA DIVISION,"['Omen', 'Brimstone', 'Viper']",28,452,420,288,1.07,1.76,194,16.1,15,10.2
