Brand,Model No,Series,Gender,Colour,Luminous,Calendar,Water Resistant,Case Diameter (mm),Strap Material
Adidas,AOSY22013,,wanita,hitam,Ya,Date,50 Meters/5 ATM/5 BAR,40.0,Leather/Kulit
Adidas,AOST22032,,unisex,hijau,Ya,No Calendar,50 Meters/5 ATM/5 BAR,38.0,Rubber/Silicon/Resin/Karet
Adidas,AOST22072,,unisex,hitam,Tidak,Perpetual Calendar,50 Meters/5 ATM/5 BAR,36.0,Stainless Steel
Adidas,AOST22051,,pria,merah,Tidak,Perpetual Calendar,50 Meters/5 ATM/5 BAR,47.0,Rubber/Silicon/Resin/Karet
Adidas,AOST22037,,unisex,hijau,Ya,No Calendar,50 Meters/5 ATM/5 BAR,38.0,Rubber/Silicon/Resin/Karet
Adidas,AOSY22016,,wanita,hitam,Ya,Date,50 Meters/5 ATM/5 BAR,40.0,Rubber/Silicon/Resin/Karet
Adidas,AOSY22023,,unisex,abu,Ya,No Calendar,50 Meters/5 ATM/5 BAR,38.0,Stainless Steel
Adidas,AOST22042,,unisex,biru,Tidak,No Calendar,50 Meters/5 ATM/5 BAR,39.0,Rubber/Silicon/Resin/Karet
Adidas,AOFH22064,,pria,rose-gold,Ya,No Calendar,50 Meters/5 ATM/5 BAR,41.0,Stainless Steel
Adidas,AOST22562,,unisex,hitam,Tidak,No Calendar,50 Meters/5 ATM/5 BAR,38.0,Rubber/Silicon/Resin/Karet
Adidas,AOST22565,,unisex,beige,Tidak,No Calendar,50 Meters/5 ATM/5 BAR,38.0,Rubber/Silicon/Resin/Karet
Adidas,AOFH22501,,pria,hitam,Ya,Date,30 Meters/3 ATM/3 BAR,41.5,Stainless Steel
Adidas,AOSY22019,,unisex,biru,Tidak,No Calendar,50 Meters/5 ATM/5 BAR,38.0,Rubber/Silicon/Resin/Karet
Adidas,AOFH22002,,unisex,gold,Tidak,No Calendar,100 Meters/10 ATM/10 BAR,42.0,Rubber/Silicon/Resin/Karet
Adidas,AOST22052,,pria,pink,Tidak,Perpetual Calendar,50 Meters/5 ATM/5 BAR,47.0,Rubber/Silicon/Resin/Karet
Adidas,AOFH22003,,unisex,abu,Tidak,No Calendar,100 Meters/10 ATM/10 BAR,43.0,Rubber/Silicon/Resin/Karet
Adidas,AOFH22500,,pria,biru,Ya,Date,100 Meters/10 ATM/10 BAR,43.0,Stainless Steel
Adidas,AOFH22514,,unisex,hitam,Ya,No Calendar,50 Meters/5 ATM/5 BAR,40.0,Leather/Kulit
Adidas,AOST22563,,unisex,biru,Tidak,No Calendar,50 Meters/5 ATM/5 BAR,38.0,Rubber/Silicon/Resin/Karet
Adidas,AOST22564,,unisex,hitam,Tidak,No Calendar,50 Meters/5 ATM/5 BAR,38.0,Rubber/Silicon/Resin/Karet
Aigner,A145201,Aigner Casual,wanita,silver,Tidak,No Calendar,30 Meters/3 ATM/3 BAR,32.0,Stainless Steel
Aigner,A24254C,Aigner Classic,wanita,gold,Tidak,No Calendar,,30.8,
Aigner,A144203,Aigner Casual,wanita,gold,Tidak,No Calendar,50 Meters/5 ATM/5 BAR,34.0,Stainless Steel
Aigner,A136104,Aigner Casual,pria,abu,Ya,Date,30 Meters/3 ATM/3 BAR,41.5,Leather/Kulit
Aigner,A136107,Aigner Casual,pria,biru,Ya,Date,30 Meters/3 ATM/3 BAR,41.5,Leather/Kulit
Aigner,A111124,Aigner Casual,pria,abu,Tidak,Date,,38.9,
Aigner,A136102,Aigner Casual,pria,hitam,Ya,Date,,41.5,Leather/Kulit
Aigner,A129203,Aigner Formal,wanita,rose-gold,Tidak,No Calendar,30 Meters/3 ATM/3 BAR,34.21,Stainless Steel
Aigner,A152101,Aigner Classic,pria,silver,Tidak,Date,50 Meters/5 ATM/5 BAR,42.92,Stainless Steel
Aigner,A149102,Aigner Casual,pria,biru,Tidak,Date,30 Meters/3 ATM/3 BAR,43.0,Leather and Rubber
Aigner,A152102,Aigner Classic,pria,biru,Tidak,Date,30 Meters/3 ATM/3 BAR,44.0,Stainless Steel
Aigner,A24254D,Aigner Classic,wanita,coklat,Tidak,No Calendar,,30.8,
Aigner,A151101,Aigner Classic,pria,hitam,Tidak,Day and Date,30 Meters/3 ATM/3 BAR,46.32,Stainless Steel
Aigner,A127110,Aigner Classic,pria,abu,Tidak,Date,,39.73,
Aigner,A129202,Aigner Formal,wanita,gold,Tidak,No Calendar,30 Meters/3 ATM/3 BAR,34.0,Stainless Steel
Aigner,A136105,Aigner Casual,pria,biru,Ya,Date,,41.5,Leather/Kulit
Aigner,A127201,Aigner Classic,wanita,silver,Tidak,No Calendar,30 Meters/3 ATM/3 BAR,30.0,Stainless Steel
Aigner,A149103,Aigner Casual,pria,hitam,Tidak,No Calendar,50 Meters/5 ATM/5 BAR,43.15,Leather and Rubber
Aigner,A106213,Aigner Classic,wanita,gold,Tidak,No Calendar,30 Meters/3 ATM/3 BAR,32.82,Stainless Steel
Aigner,A151103,Aigner Classic,pria,silver,Tidak,Day and Date,30 Meters/3 ATM/3 BAR,44.8,Stainless Steel
Alba,ARSZ02X1,Alba Prestige,pria,gold,Ya,No Calendar,50 Meters/5 ATM/5 BAR,40.0,Stainless Steel
Alba,AXT850X1,Alba Fashion,wanita,gold,Ya,Date,50 Meters/5 ATM/5 BAR,25.0,Stainless Steel
