plu,item_name,final_price,discount,image,description,composition,warehousename
10006895,Wrp Meal Replacement Cokelat 324G ,83000,50,https://assets.klikindomaret.com/products/10006895/10006895_thumb.jpg?Version.20.01.1.01,WRP susu bubuk rasa coklat tinggi protein; tinggi kalsium ; sumber serat.,Susu bubuk skim; susu bubuk full krim; gula pasir; protein whey; bubuk coklat; krimer nabati; serat inulin; premiks vitamin & mineral; pemanis buatan asesulfam-k 10/mg/saji (ADI: 15mg/kg berat badan/hari).,Toko Indomaret
20117263,Madu Enak Manuka Honey 250G ,30000,48,https://assets.klikindomaret.com/products/20117263/20117263_thumb.jpg?Version.20.01.1.01,100% madu asli; diperkaya pleh madu manuka. Madu manuka adalah madu yang diperoleh dari lebah yang mengumpulkan serbuk sari dan nektar jelly bush yang dikenal sebagai pohon manuka.,Madu hutan; madu randu; madu karet; madu kelengkeng dan madu manuka.,Toko Indomaret
20123183,Puck Cream Cheese Spread 140G ,19900,37,https://assets.klikindomaret.com/products/20123183/20123183_thumb.jpg?Version.20.01.1.01,kelembutan tekstur keju oles puck cream cheese membuat sajian makanan dirumah menjadi lebih istimewa,keju krim (88.7%) (mengandung susu sapi terpasteurisasi; kultur asam laktat); minyak nabati; pengemulsi trinatrium fosfat; garam; tidak mengandung rennet; tanpa pengawet,Toko Indomaret
20093997,Diabetamil Sweetener 50G ,19900,29,https://assets.klikindomaret.com/products/20093997/20093997_thumb.jpg?Version.20.01.1.01,Pemanis lebih rendah energi; kemanisan tidak berubah pada suhu tinggi; bantu cegah konsumsi gula berlebih untuk jaga dan kontrol kadar gula darah.,Pemanis alami sorbitol; pemanis buatan,Toko Indomaret
20119663,Captain Oats Instant Oatmeal 12x40g ,24300,27,https://assets.klikindomaret.com/products/20119663/20119663_thumb.jpg?Version.20.01.1.01,Captain Oats Instant Oatmeal merupakan salah satu makanan sehat dari Captain Oats yang bermanfaat untuk system pencernaan; tekanan darah tinggi dan kolestrol. Apalagi; produk ini juga ideal bagi Anda yang sedang menjalankan program diet. Dengan; dibuatnya 100% biji oat import menjadikan Captain Oats mempunyai bahan berkualitas tinggi tanpa tambahan bahan pengawet. Selain itu; proses dengan cara OatiFresh menjamin kualitas terbaik dan tidak mengurangi nutrisi yang ada.,N/A,Warehouse Jakarta 1
10030665,Simba Cereal Choco Chips Cokelat 55G ,6900,26,https://assets.klikindomaret.com/products/10030665/10030665_thumb.jpg?Version.20.01.1.01,Sereal gandum rasa coklat yang lezat,Tepung gandum; coklat bubuk; pasta coklat; susu bubuk; gula; ekstrak malt; garam; pengemulsi lesitin kedelai; perisa coklat; kalsium karbonat; pewarna karamel (E-150C).,Toko Indomaret
20109980,Ovomaltine Crunchy Cream 230G ,45500,25,https://assets.klikindomaret.com/products/20109980/20109980_thumb.jpg?Version.20.01.1.01,Ovomaltine crunchy cream knusper schokogenuss,Ovomaltine Bubuk 33%; Ekstrak barley Malt; Susu Skim kental; serum susu kental; 13.3% kako bubuk rendah lemak; gula; fruktosa; mineral; minyak rapeseed; Vitamin A;E;C; thiamin; riboflavin; niasin; B6; asam folat; B12; biotin; asam pantotenat; garam; perisa sintetik vanila; kacang Hazel; pengemulsi nabati; penstabil fosfat; minyak biji bunga matahari.,Toko Indomaret
20096795,Indomaret Jam Strawberry 170G ,10900,22,https://assets.klikindomaret.com/products/20096795/20096795_thumb.jpg?Version.20.01.1.01,Selai yang dibuat dari buah stroberi pilihan yang dicampur dengan bahan berkualitas.,Gula; buah stroberi; air; pengental pektin; pengatur keasaman asam sitrat; pengemulsi & penstabil nabati; perisa sintetik stroberi; pengawet kalium sorbat; pewarna makanan.,Toko Indomaret
20127302,Bella Spread Choco Cashew 300G ,22300,18,https://assets.klikindomaret.com/products/20127302/20127302_thumb.jpg?Version.20.01.1.01,Selai dengan varian rasa dan tekstur yang khas; sangat cocok untuk aplikasi isian; olesan; adonan; dan juga dekorasi.,N/A,Toko Indomaret
10025006,Nestle Cereal Breakfast Combo Pack Koko Krunch 32G ,7500,17,https://assets.klikindomaret.com/products/10025006/10025006_thumb.jpg?Version.20.01.1.01,Sereal dengan gandum utuh rasa coklat yang dahsyat,Serealia (tepung gandum; tepung gandum utuh) gula; bubuk kakao; sari malt; minyak nabati; mineral; garam; pengemulsi lestin kedelai; vitamin; perisa vanila dan antioksidan tokoferol,Toko Indomaret
