,hotel_name,review,address,prices
0,1. The Papandayan,5.0,"Jl. Gatot Subroto 83, Bandung 40262 Indonesia",752086
1,2. The Gaia Hotel Bandung,5.0,"No. 430 Jl. Dr. Setiabudi, Bandung 40143 Indonesia",1640356
2,3. Janevalla Bandung,4.5,"Jalan Aceh No. 65, Jawa Barat, Bandung 40115 Indonesia",862921
3,4. Grand Tjokro Premiere Bandung,4.5,"Jl. Cihampelas no. 211-217, Bandung 40131 Indonesia",489988
4,5. Swiss-Belresort Dago Heritage,5.0,"Lapangan Golf Dago Atas No. 78 Dago Heritage Golf Complex, Bandung 40135 Indonesia",939250
5,6. Hotel Savoy Homann,4.0,"Jl. Asia Afrika, No. 112, Bandung 40261 Indonesia",503338
6,7. Belviu Hotel,5.0,"Jl. Dr Setiabudhi no. 35 Sukajadi, Bandung 40161 Indonesia",511591
7,8. Shakti Hotel Bandung,4.5,"Jl. Soekarno Hatta No. 735 Gede Bage, Bandung 40294 Indonesia",377006
8,9. The Trans Luxury Hotel,4.5,"Jl. Jenderal Gatot Subroto no. 289, Bandung 40273 Indonesia",1172144
9,10. HARRIS Hotel & Conventions Festival CityLink,4.5,"Jl. Peta no. 241 Kopo, Bandung 40323 Indonesia",414790
10,11. de JAVA Hotel,4.5,"Jl. Sukajadi no. 148-150, Bandung 40161 Indonesia",309817
11,12. THE 1O1 Bandung Dago,4.0,"Jl. Ir H Djuanda no. 3 Dago Bawah, Bandung 40115 Indonesia",513091
12,13. Horison Ultima Bandung,4.0,"Jl. Pelajar Pejuang 45 no. 121 Buah Batu, Bandung 40264 Indonesia",0
13,14. Tebu Hotel Bandung,4.5,"Jl. L.L.R.E Martadinata no. 62, Bandung 40115 Indonesia",223595
14,15. The Cherry Homes Hotel and Residence,4.0,"Jl. Babakan Jeruk IV No.37-39, Bandung 40163 Indonesia",200193
15,16. Vue Palace Hotel,4.5,"Jalan Otto Iskandar Dinata No 3, Bandung 40117 Indonesia",193659
16,17. Hotel Daily Inn Bandung,5.0,"Jalan. Dalem Kaum No.36 Kec. Regol Kel. Balonggede. Alun-alun Kota Bandung, Bandung 40251 Indonesia",213759
17,"18. The Jayakarta Suites Bandung, Boutique Suites, Hotel & Spa",3.5,"Jl. Ir. H Juanda no. 381A, Bandung 40135 Indonesia",564908
18,19. Fabu Hotel Bandung,3.5,"Jl. Kebon Jati no. 32, Bandung 40181 Indonesia",264788
