Ranking,World Ranking,University,Country,Impact Rank,Openness Rank,Excellence Rank,Uni Profile
1,47,National University of Singapore,Singapore,119,60,22,https://ror.org/01tgyzw49
2,87,Nanyang Technological University,Singapore,304,95,36,https://ror.org/02e7b5302
3,291,University of Malaya,Malaysia,440,373,244,https://ror.org/00rzspn62
4,447,Chulalongkorn University,Thailand,559,584,526,https://ror.org/028wp3y58
5,450,Universiti Teknologi Malaysia,Malaysia,979,413,362,https://ror.org/026w31v75
6,470,Universiti Putra Malaysia,Malaysia,912,339,442,https://ror.org/02e91jd64
7,488,Chiang Mai University,Thailand,263,926,816,https://ror.org/05m2fqn25
8,521,Universiti Sains Malaysia,Malaysia,1098,419,461,https://ror.org/02rgb2k63
9,523,Mahidol University,Thailand,518,778,661,https://ror.org/01znkr924
10,583,Universitas Indonesia,Indonesia,299,686,1126,https://ror.org/0116zj450
11,669,Vietnam National University Hanoi,Vietnam,431,1167,1047,https://ror.org/02jmfj006
12,686,Universitas Gadjah Mada,Indonesia,335,710,1389,https://ror.org/03ke6d638
13,714,Khon Kaen University,Thailand,475,1115,1171,https://ror.org/03cq4gr50
14,725,Universiti Kebangsaan Malaysia,Malaysia,1446,2706,430,https://ror.org/00gsmf457
15,760,Kasetsart University,Thailand,430,1277,1308,https://ror.org/05gzceg21
16,811,Singapore Management University,Singapore,825,763,1204,https://ror.org/050qmg959
17,826,Singapore University of Technology and Design,Singapore,1609,1048,746,https://ror.org/05j6fvn87
18,841,Prince of Songkla University,Thailand,718,1286,1236,https://ror.org/0575ycz84
19,853,Universitas Brawijaya,Indonesia,215,848,2239,https://ror.org/01wk3d929
20,897,IPB University,Indonesia,405,720,1999,https://ror.org/05smgpd89
21,949,(3) University of the Philippines Diliman,Philipine,951,1919,1147,https://ror.org/03tbh6y23
22,961,Universiti Teknologi MARA,Malaysia,1812,703,1018,https://ror.org/05n8tts92
23,990,Universitas Airlangga,Indonesia,1023,977,1418,https://ror.org/04ctejd88
24,1003,King Mongkut's University of Technology Thonburi,Thailand,1211,1371,1240,https://ror.org/0057ax056
25,1014,Ton Duc Thang University,Vietnam,5616,2214,262,https://ror.org/01drq0835
26,1028,International Islamic University of Malaysia,Malaysia,1613,881,1208,https://ror.org/03s9hs139
27,1050,Universitas Sebelas Maret UNS Surakarta,Indonesia,418,911,2376,https://ror.org/021hq5q33
28,1066,Thammasat University,Thailand,842,1407,1660,https://ror.org/002yp7f20
29,1093,Duy Tan University,Vietnam,5666,1742,398,https://ror.org/05ezss144
30,1137,King Mongkut's University of Technology North Bangkok,Thailand,1024,1519,1657,https://ror.org/04fy6jb97
31,1141,Nguyen Tat Thanh University,Vietnam,893,2922,1492,https://ror.org/04r9s1v23
32,1158,Universitas Syiah Kuala,Indonesia,815,1203,2010,https://ror.org/05v4dza81
33,1160,Institut Teknologi Sepuluh Nopember,Indonesia,916,1074,1954,https://ror.org/05kbmmt89
34,1198,Universiti Malaysia Pahang,Malaysia,3607,964,930,https://ror.org/01704wp68
35,1212,Universiti Teknologi Petronas,Malaysia,4791,945,747,https://ror.org/048g2sh07
36,1270,Hanoi University of Science and Technology,Vietnam,1681,1408,1607,https://ror.org/04nyv3z04
37,1316,Naresuan University,Thailand,841,1394,2379,https://ror.org/03e2qe334
38,1340,Universiti Utara Malaysia,Malaysia,2952,957,1392,https://ror.org/01ss10648
39,1360,King Mongkut's Institute of Technology Ladkrabang,Thailand,1332,1638,2010,https://ror.org/055mf0v62
