dish_id,dish_name
1,International
2,Masakan Tiong Hwa
3,Martabak
4,Pizza & Pasta
5,Chicken & Duck
6,Aneka Ayam
7,Satay
8,Hidangan laut
9,Siomay & Batagor
10,Teh
11,Burger
12,Sandwiches
13,Coffee
14,Bubble Tea
15,Masakan Indonesia
16,Minuman
17,Chicken Wing
18,Pempek
19,Food
20,Frozen
21,Aneka Nasi
22,Kopi
23,Ayam
24,Fast Food 🍔
25,#INDONESIA
26,Pizza
27,Nasi
28,Cemilan
29,Mie
30,Roti Bakar
31,Indonesia
32,Bakmie
33,Cepat Saji
34,Mie Ayam
35,Hidangan Laut
36,Pasta
37,Tersertifikasi Halal
38,Drinks
39,Menu Asia
40,Frozen Food
41,Rice Dishes
42,Daging Sapi
43,Beef
44,Bebek
45,Asli Indonesia 🇮🇩
46,Bakso
47,Masakan Barat
48,Japanese
49,Ayam Goreng
50,#AllinOne
51,Pencuci Mulut
52,Dimsum
53,Nasi Goreng
54,soto ayam
55,Roti
56,Sop
57,Fast Food
58,Sarapan
59,Masakan Jepang
60,Bakmi
61,Chinese cuisine
62,Masakan Korea
63,Daging Babi
64,Makanan sehat
65,Minuman 
66,Masakan Padang
67,Halal
68,Rice
69,Toserba
70,Chicken Delight
71,Jus
72,Ricebowl
73,Bakso & Soto
74,Nasi Padang
75,Sate
76,Snack
77,Fish
78,Chicken
79,Duck
80,Roti & Kue
81,Specialty Store
