resto_id,resto_name,url,kota,rating,preferred,opening_id
1,wbc burger sabang kebon sirih,https://food.grab.com/id/id/restaurant/wbc-burger-sabang-kebon-sirih-delivery/6-C251LB5HL7UCRN?,Jakarta,5.0,1,1.0
2,two fat indians by queen s tandoor gondangdia,https://food.grab.com/id/id/restaurant/two-fat-indians-by-queen-s-tandoor-gondangdia-delivery/6-C2XUATKHG66YLN?,Jakarta,4.3,1,2.0
3,count three posbloc,https://food.grab.com/id/id/restaurant/count-three-posbloc-delivery/6-C3BUEEEBN4K1EA?,Jakarta,4.2,1,3.0
4,johnny rockets sahid sudirman,https://food.grab.com/id/id/restaurant/johnny-rockets-sahid-sudirman-delivery/IDGFSTI000002pd?,Jakarta,4.8,1,2.0
5,burger bros duren sawit,https://food.grab.com/id/id/restaurant/burger-bros-duren-sawit-delivery/6-C3TJFFVCBEUAKE?,Jakarta,4.8,1,4.0
6,burger sultan duri kepa,https://food.grab.com/id/id/restaurant/burger-sultan-duri-kepa-delivery/6-C3N1AGBCVALEG2?,Jakarta,5.0,1,2.0
7,d clate food jati,https://food.grab.com/id/id/restaurant/d-clate-food-jati-delivery/6-CZMARZKVNUJUTA?,Jakarta,,1,2.0
8,meatz burger and toast kelapa gading barat,https://food.grab.com/id/id/restaurant/meatz-burger-and-toast-kelapa-gading-barat-delivery/6-C253VEK1RXLUFE?,Jakarta,4.9,1,2.0
9,keikpop by the food chain thamrin,https://food.grab.com/id/id/restaurant/keikpop-by-the-food-chain-thamrin-delivery/6-C26EC3ADRBDZJ2?,Jakarta,4.8,1,5.0
10,pisang goreng madu pasti menteng,https://food.grab.com/id/id/restaurant/pisang-goreng-madu-pasti-menteng-delivery/6-C3NTWF6TJEUKVX?,Jakarta,4.7,1,2.0
11,bittersweet by najla kebon kelapa,https://food.grab.com/id/id/restaurant/bittersweet-by-najla-kebon-kelapa-delivery/6-C3CEN7JBSBTFJT?,Jakarta,4.9,1,6.0
12,sengkoeloen cikini,https://food.grab.com/id/id/restaurant/sengkoeloen-cikini-delivery/6-C3LYGJ63CEC3WE?,Jakarta,4.8,1,7.0
13,martabak pecenongan 78 kwitang kembang raya,https://food.grab.com/id/id/restaurant/martabak-pecenongan-78-kwitang-kembang-raya-delivery/6-CZDYNRMVVB5DAX?,Jakarta,4.8,1,8.0
14,bronuts bungur,https://food.grab.com/id/id/restaurant/bronuts-bungur-delivery/6-CZNGCU32FBTAPE?,Jakarta,4.9,1,7.0
15,roti srikaya devarliss cikini,https://food.grab.com/id/id/restaurant/roti-srikaya-devarliss-cikini-delivery/6-C2EUELMTJ2LEJT?,Jakarta,4.8,1,8.0
16,martabak pizza orins gondangdia,https://food.grab.com/id/id/restaurant/martabak-pizza-orins-gondangdia-delivery/IDGFSTI000036eo?,Jakarta,4.8,1,9.0
17,jakartacheesefactoryxdifabis menteng,https://food.grab.com/id/id/restaurant/jakartacheesefactoryxdifabis-menteng-delivery/6-C3VVAYCUR8ACBA?,Jakarta,4.7,1,2.0
18,holland bakery spbu abdul muis,https://food.grab.com/id/id/restaurant/holland-bakery-spbu-abdul-muis-delivery/6-CYLELYBGEVADMA?,Jakarta,4.8,1,10.0
19,siliwangi bolu kukus stasiun tanah abang,https://food.grab.com/id/id/restaurant/siliwangi-bolu-kukus-stasiun-tanah-abang-delivery/6-C3XBGETAGUJ3CN?,Jakarta,,0,2.0
20,starbucks tanah abang,https://food.grab.com/id/id/restaurant/starbucks-tanah-abang-delivery/6-CZCZLJ5FRCN3WE?,Jakarta,4.9,1,2.0
21,premium roti bakar krukut,https://food.grab.com/id/id/restaurant/premium-roti-bakar-krukut-delivery/6-CZN1E8JDEK63RX?,Jakarta,4.8,1,11.0
22,sengkoeloen yellow bee tanah abang,https://food.grab.com/id/id/restaurant/sengkoeloen-yellow-bee-tanah-abang-delivery/6-C32HNAUZVEXTG6?,Jakarta,4.8,1,12.0
23,point coffee indomaret juanda raya tzut,https://food.grab.com/id/id/restaurant/point-coffee-indomaret-juanda-raya-tzut-delivery/6-CZD2A3U3JA31RE?,Jakarta,4.8,1,10.0
24,ponut donat kentang plaza indonesia,https://food.grab.com/id/id/restaurant/ponut-donat-kentang-plaza-indonesia-delivery/6-CZMGA74XNNXGAX?,Jakarta,4.9,1,2.0
25,krispy kreme harmoni exchange,https://food.grab.com/id/id/restaurant/krispy-kreme-harmoni-exchange-delivery/6-C35KN35XCA4HG2?,Jakarta,4.9,1,13.0
26,kibo cheese petojo selatan,https://food.grab.com/id/id/restaurant/kibo-cheese-petojo-selatan-delivery/6-C3CYCN6AE2CVNT?,Jakarta,4.9,1,14.0
27,restoran beautika manado petojo selatan,https://food.grab.com/id/id/restaurant/restoran-beautika-manado-petojo-selatan-delivery/IDGFSTI0000343k?,Jakarta,4.8,1,2.0
28,c bakes plaza indonesia,https://food.grab.com/id/id/restaurant/c-bakes-plaza-indonesia-delivery/6-C35THCJKEZJXRE?,Jakarta,5.0,1,15.0
29,kue macho mbak sri tanah tinggi,https://food.grab.com/id/id/restaurant/kue-macho-mbak-sri-tanah-tinggi-delivery/6-C2AGTBKUGFEFCA?,Jakarta,4.4,1,2.0
